"id";"amount";"category";"date";"description";"type"
1;35000.0;"salary";"2024-01-01";"Salary";"income"
2;500.0;"food";"2024-01-02";"Groceries";"expense"
3;1800.0;"housing";"2024-01-03";"Rent";"expense"
4;300.0;"utilities";"2024-01-04";"Utilities";"expense"
5;6000.0;"transfer";"2024-01-05";"Transfer to Friend";"expense"
6;200.0;"food";"2024-01-06";"Groceries";"expense"
7;3000.0;"other";"2024-01-07";"Credit from Friend";"income"
8;250.0;"utilities";"2024-01-08";"Utilities";"expense"
9;400.0;"food";"2024-01-09";"Groceries";"expense"
10;25000.0;"transfer";"2024-01-10";"Transfer to Friend";"expense"
11;1500.0;"other";"2024-01-11";"Credit from Friend";"income"
12;260.0;"utilities";"2024-01-12";"Utilities";"expense"
13;230.0;"food";"2024-01-13";"Groceries";"expense"
14;1800.0;"housing";"2024-01-14";"Rent";"expense"
15;500.0;"transfer";"2024-01-15";"Transfer to Friend";"expense"
16;17000.0;"other";"2024-01-16";"Credit from Cousin";"income"
17;300.0;"utilities";"2024-01-17";"Utilities";"expense"
18;250.0;"food";"2024-01-18";"Groceries";"expense"
19;1200.0;"transfer";"2024-01-19";"Transfer to Friend";"expense"
20;1000.0;"other";"2024-01-20";"Credit from Friend";"income"
21;250.0;"utilities";"2024-01-21";"Utilities";"expense"
22;200.0;"food";"2024-01-22";"Groceries";"expense"
23;1800.0;"housing";"2024-01-23";"Rent";"expense"
24;2000.0;"transfer";"2024-01-24";"Transfer to Friend";"expense"
25;1500.0;"other";"2024-01-25";"Credit from Friend";"income"
26;240.0;"utilities";"2024-01-26";"Utilities";"expense"
27;300.0;"food";"2024-01-27";"Groceries";"expense"
